,YEAR,C_S,WA,BA,IA,AA,NA,TOM,NH,H
7249,2019,"Talbot County,Georgia",2638,3405,46,17,3,79,6006,182
7261,2017,"Taliaferro County,Georgia",643,912,4,22,0,31,1546,66
7262,2018,"Taliaferro County,Georgia",679,872,3,23,0,33,1545,65
7263,2019,"Taliaferro County,Georgia",640,849,3,22,0,35,1489,60
7275,2017,"Tattnall County,Georgia",17166,7528,162,152,41,371,22489,2931
7276,2018,"Tattnall County,Georgia",17073,7663,165,157,42,408,22469,3039
7277,2019,"Tattnall County,Georgia",16991,7495,164,169,44,454,22208,3109
7289,2017,"Taylor County,Georgia",4833,3168,18,66,1,95,7956,225
7290,2018,"Taylor County,Georgia",4758,3107,27,67,1,107,7836,231
7291,2019,"Taylor County,Georgia",4822,3014,27,71,1,116,7837,214
7303,2017,"Telfair County,Georgia",9652,5880,55,112,11,202,13555,2357
7304,2018,"Telfair County,Georgia",9597,5902,57,113,11,208,13499,2389
7305,2019,"Telfair County,Georgia",9581,5833,59,113,11,216,13414,2399
7317,2017,"Terrell County,Georgia",3274,5194,45,43,16,126,8437,261
7318,2018,"Terrell County,Georgia",3198,5180,49,42,14,118,8362,239
7319,2019,"Terrell County,Georgia",3214,5130,52,40,13,124,8328,245
7331,2017,"Thomas County,Georgia",26999,16269,261,418,23,653,42985,1638
7332,2018,"Thomas County,Georgia",26901,16090,265,412,25,643,42684,1652
7333,2019,"Thomas County,Georgia",26847,16172,284,431,32,661,42709,1718
7345,2017,"Tift County,Georgia",26736,12317,201,620,25,556,35638,4817
7346,2018,"Tift County,Georgia",26684,12444,190,648,26,570,35658,4904
7347,2019,"Tift County,Georgia",26657,12549,205,629,26,587,35692,4961
7359,2017,"Toombs County,Georgia",18985,7015,214,236,38,380,23736,3132
7360,2018,"Toombs County,Georgia",18877,7145,219,237,37,395,23749,3161
7361,2019,"Toombs County,Georgia",18863,7091,227,241,35,387,23706,3138
7373,2017,"Towns County,Georgia",11176,131,38,96,6,110,11248,309
7374,2018,"Towns County,Georgia",11404,153,47,113,8,119,11508,336
7375,2019,"Towns County,Georgia",11549,135,50,125,10,140,11631,378
7387,2017,"Treutlen County,Georgia",4464,2170,17,23,2,75,6560,191
7388,2018,"Treutlen County,Georgia",4493,2152,21,24,2,88,6577,203
7389,2019,"Treutlen County,Georgia",4528,2194,19,23,2,94,6646,214
7401,2017,"Troup County,Georgia",41611,25367,279,1600,121,1145,67533,2590
7402,2018,"Troup County,Georgia",41226,25699,270,1599,121,1176,67548,2543
7403,2019,"Troup County,Georgia",41073,25674,279,1658,125,1250,67479,2580
7415,2017,"Turner County,Georgia",4524,3155,44,74,13,92,7517,385
7416,2018,"Turner County,Georgia",4460,3226,47,76,14,94,7529,388
7417,2019,"Turner County,Georgia",4491,3187,52,78,13,108,7537,392
7429,2017,"Twiggs County,Georgia",4640,3434,32,33,3,126,8053,215
7430,2018,"Twiggs County,Georgia",4654,3330,32,31,3,129,7965,214
7431,2019,"Twiggs County,Georgia",4610,3342,38,32,3,139,7940,224
7443,2017,"Union County,Georgia",22681,205,117,114,5,284,22625,781
7444,2018,"Union County,Georgia",23228,206,114,109,5,299,23136,825
7445,2019,"Union County,Georgia",23843,209,123,118,5,308,23725,881
7457,2017,"Upson County,Georgia",18020,7504,119,163,24,393,25628,595
7458,2018,"Upson County,Georgia",18060,7439,124,183,30,413,25649,600
7459,2019,"Upson County,Georgia",18160,7464,125,166,39,448,25782,620
7471,2017,"Walker County,Georgia",64188,2963,254,524,46,1112,67548,1539
7472,2018,"Walker County,Georgia",64438,3067,269,519,46,1168,67869,1638
7473,2019,"Walker County,Georgia",64667,3044,292,532,40,1194,68021,1748
7485,2017,"Walton County,Georgia",71650,16273,361,1381,102,1622,87450,3939
7486,2018,"Walton County,Georgia",72583,17220,378,1496,101,1672,89163,4287
7487,2019,"Walton County,Georgia",73041,17944,391,1603,114,1725,90187,4631
7499,2017,"Ware County,Georgia",23565,10859,169,386,31,695,34298,1407
7500,2018,"Ware County,Georgia",23525,10839,172,395,34,738,34212,1491
7501,2019,"Ware County,Georgia",23601,10835,172,415,34,759,34275,1541
7513,2017,"Warren County,Georgia",2044,3115,18,31,0,55,5192,71
7514,2018,"Warren County,Georgia",2034,3087,16,31,0,59,5141,86
7515,2019,"Warren County,Georgia",2043,3067,15,34,0,61,5128,92
7527,2017,"Washington County,Georgia",9023,10882,39,124,4,241,19790,523
7528,2018,"Washington County,Georgia",9043,10950,39,123,3,260,19885,533
7529,2019,"Washington County,Georgia",8957,10950,40,127,3,275,19814,538
7541,2017,"Wayne County,Georgia",22843,5927,184,220,29,640,27987,1856
7542,2018,"Wayne County,Georgia",22792,6021,193,214,28,626,27953,1921
7543,2019,"Wayne County,Georgia",22873,6074,191,226,31,622,28064,1953
7555,2017,"Webster County,Georgia",1448,1071,11,13,0,43,2470,116
7556,2018,"Webster County,Georgia",1424,1085,13,12,0,41,2453,122
7557,2019,"Webster County,Georgia",1418,1082,13,15,0,45,2442,131
7569,2017,"Wheeler County,Georgia",4791,3026,15,26,3,97,7534,424
7570,2018,"Wheeler County,Georgia",4760,2984,12,28,3,104,7460,431
7571,2019,"Wheeler County,Georgia",4751,2971,12,29,3,104,7437,433
7583,2017,"White County,Georgia",28017,562,166,164,21,499,28471,958
7584,2018,"White County,Georgia",28476,593,164,164,22,474,28912,981
7585,2019,"White County,Georgia",29105,621,164,168,28,515,29609,992
7597,2017,"Whitfield County,Georgia",94631,4445,1421,1632,248,1709,67773,36313
7598,2018,"Whitfield County,Georgia",94604,4447,1438,1645,250,1725,67020,37089
7599,2019,"Whitfield County,Georgia",94551,4559,1456,1672,260,1767,66731,37534
7611,2017,"Wilcox County,Georgia",5514,3053,26,58,1,128,8363,417
7612,2018,"Wilcox County,Georgia",5483,3068,25,68,1,139,8365,419
7613,2019,"Wilcox County,Georgia",5385,2983,25,73,3,138,8183,424
7625,2017,"Wilkes County,Georgia",5401,4133,26,98,1,209,9367,501
7626,2018,"Wilkes County,Georgia",5449,4070,24,86,2,214,9335,510
7627,2019,"Wilkes County,Georgia",5452,4003,23,89,2,200,9255,514
7639,2017,"Wilkinson County,Georgia",5286,3436,44,47,2,138,8693,260
7640,2018,"Wilkinson County,Georgia",5304,3455,47,43,2,154,8751,254
7641,2019,"Wilkinson County,Georgia",5276,3415,46,38,2,159,8665,271
7653,2017,"Worth County,Georgia",14176,5849,74,145,17,271,20117,415
7654,2018,"Worth County,Georgia",14070,5743,73,147,15,259,19851,456
7655,2019,"Worth County,Georgia",13995,5675,69,156,14,276,19712,473
7667,2017,"Hawaii County,Hawaii",67940,1505,1073,42479,26348,61055,174293,26107
7668,2018,"Hawaii County,Hawaii",68572,1546,1092,42515,26569,61969,175468,26795
7669,2019,"Hawaii County,Hawaii",68067,1596,1113,42363,26586,62440,175071,27094
7681,2017,"Honolulu County,Hawaii",215549,27573,3100,420379,97632,222740,888549,98424
7682,2018,"Honolulu County,Hawaii",211901,27652,3095,417321,97673,223434,882194,98882
7683,2019,"Honolulu County,Hawaii",208835,27494,3037,413822,97041,223262,874695,98796
7695,2017,"Kalawao County,Hawaii",24,0,0,7,42,14,86,1
7696,2018,"Kalawao County,Hawaii",24,0,0,7,42,14,86,1
7697,2019,"Kalawao County,Hawaii",24,0,0,7,42,14,86,1
7709,2017,"Kauai County,Hawaii",23636,417,332,22221,6762,18470,63776,8062
7710,2018,"Kauai County,Hawaii",23810,455,339,22205,6832,18651,64058,8234
7711,2019,"Kauai County,Hawaii",23735,464,329,22115,6785,18762,63821,8369
7723,2017,"Maui County,Hawaii",57877,1216,908,48085,18148,40231,147415,19050
7724,2018,"Maui County,Hawaii",58027,1242,928,48316,18171,40700,148046,19338
7725,2019,"Maui County,Hawaii",57979,1260,951,48223,18087,41182,147897,19785
7737,2017,"Ada County,Idaho",420852,5910,3718,12521,1023,12970,419237,37757
7738,2018,"Ada County,Idaho",431648,6121,3762,12926,1065,13639,429813,39348
7739,2019,"Ada County,Idaho",442897,6398,3929,13388,1077,14191,440533,41347
7751,2017,"Adams County,Idaho",3917,15,53,30,13,100,3973,155
7752,2018,"Adams County,Idaho",3981,15,62,35,19,103,4035,180
7753,2019,"Adams County,Idaho",4027,13,62,38,17,108,4104,161
7765,2017,"Bannock County,Idaho",77782,824,3144,1508,259,2054,78137,7434
7766,2018,"Bannock County,Idaho",78555,875,3291,1539,260,2241,79009,7752
7767,2019,"Bannock County,Idaho",79450,906,3321,1522,266,2357,79815,8007
7779,2017,"Bear Lake County,Idaho",5848,20,51,38,5,67,5768,261
7780,2018,"Bear Lake County,Idaho",5838,24,55,31,5,73,5770,256
7781,2019,"Bear Lake County,Idaho",5923,24,63,30,5,86,5867,264
7793,2017,"Benewah County,Idaho",7948,35,789,28,9,358,8815,352
7794,2018,"Benewah County,Idaho",7998,43,782,35,9,355,8853,369
7795,2019,"Benewah County,Idaho",8086,45,763,35,7,367,8927,376
7807,2017,"Bingham County,Idaho",40761,247,3558,439,80,803,37524,8364
7808,2018,"Bingham County,Idaho",40959,277,3475,432,75,836,37628,8426
7809,2019,"Bingham County,Idaho",41630,283,3466,450,72,871,38310,8462
7821,2017,"Blaine County,Idaho",21242,131,367,289,42,330,17363,5038
7822,2018,"Blaine County,Idaho",21517,140,371,308,42,358,17518,5218
7823,2019,"Blaine County,Idaho",21762,151,374,319,33,373,17628,5384
7835,2017,"Boise County,Idaho",6967,40,93,77,23,170,7013,357
7836,2018,"Boise County,Idaho",7249,41,93,94,23,189,7319,370
7837,2019,"Boise County,Idaho",7456,38,96,103,15,195,7494,409
7849,2017,"Bonner County,Idaho",41895,111,368,317,59,965,42318,1397
7850,2018,"Bonner County,Idaho",42723,129,407,336,63,1051,43239,1470
7851,2019,"Bonner County,Idaho",43755,141,410,327,64,1077,44164,1610
7863,2017,"Bonneville County,Idaho",108555,782,1478,1261,150,2382,99561,15047
7864,2018,"Bonneville County,Idaho",110401,814,1503,1314,155,2474,101189,15472
7865,2019,"Bonneville County,Idaho",112649,856,1584,1401,174,2622,103143,16143
7877,2017,"Boundary County,Idaho",11342,62,225,105,8,253,11384,611
7878,2018,"Boundary County,Idaho",11393,67,230,115,15,253,11466,607
7879,2019,"Boundary County,Idaho",11614,85,236,136,15,254,11717,623
7891,2017,"Butte County,Idaho",2477,12,27,8,5,53,2465,117
7892,2018,"Butte County,Idaho",2475,11,35,8,5,58,2467,125
7893,2019,"Butte County,Idaho",2510,10,28,8,5,59,2476,144
7905,2017,"Camas County,Idaho",1029,4,16,5,0,38,1011,81
7906,2018,"Camas County,Idaho",1034,6,16,5,0,37,1026,72
7907,2019,"Camas County,Idaho",1031,6,14,4,0,36,1018,73
7919,2017,"Canyon County,Idaho",202836,1729,3806,2212,703,5751,162335,54702
7920,2018,"Canyon County,Idaho",208655,1829,3911,2313,731,6079,166796,56722
7921,2019,"Canyon County,Idaho",214531,1895,4049,2480,797,6518,171474,58796
7933,2017,"Caribou County,Idaho",6773,9,48,31,17,102,6552,428
7934,2018,"Caribou County,Idaho",6832,11,44,31,17,84,6593,426
7935,2019,"Caribou County,Idaho",6950,10,46,30,22,91,6668,481
7947,2017,"Cassia County,Idaho",22488,197,364,167,72,373,17184,6477
7948,2018,"Cassia County,Idaho",22551,213,374,175,68,388,17281,6488
7949,2019,"Cassia County,Idaho",22796,206,384,188,63,415,17488,6564
7961,2017,"Clark County,Idaho",809,14,24,9,2,20,505,373
7962,2018,"Clark County,Idaho",768,15,33,9,2,18,478,367
7963,2019,"Clark County,Idaho",764,16,31,7,2,18,473,365
7975,2017,"Clearwater County,Idaho",8112,56,208,63,19,193,8282,369
7976,2018,"Clearwater County,Idaho",8199,57,216,63,19,205,8360,399
7977,2019,"Clearwater County,Idaho",8181,54,222,67,22,215,8402,359
7989,2017,"Custer County,Idaho",3976,22,40,16,2,82,3929,209
7990,2018,"Custer County,Idaho",4042,24,41,15,2,92,4006,210
7991,2019,"Custer County,Idaho",4094,25,44,14,2,94,4068,205
8003,2017,"Elmore County,Idaho",23583,895,411,894,110,1014,22328,4579
8004,2018,"Elmore County,Idaho",23987,870,445,847,110,1050,22510,4799
8005,2019,"Elmore County,Idaho",24054,838,452,823,106,1100,22488,4885
8017,2017,"Franklin County,Idaho",13121,37,126,25,10,182,12592,909
8018,2018,"Franklin County,Idaho",13319,39,134,30,7,189,12795,923
8019,2019,"Franklin County,Idaho",13472,44,146,32,7,197,12958,940
8031,2017,"Fremont County,Idaho",12603,104,147,45,47,194,11515,1625
8032,2018,"Fremont County,Idaho",12656,99,142,48,52,165,11563,1599
8033,2019,"Fremont County,Idaho",12573,106,149,50,64,163,11508,1597
8045,2017,"Gem County,Idaho",16508,52,188,164,37,402,15871,1480
8046,2018,"Gem County,Idaho",16777,46,207,173,26,393,16134,1488
8047,2019,"Gem County,Idaho",17287,44,207,175,43,418,16597,1577
8059,2017,"Gooding County,Idaho",14296,90,313,117,41,298,10702,4453
8060,2018,"Gooding County,Idaho",14304,90,328,120,40,305,10687,4500
8061,2019,"Gooding County,Idaho",14404,87,325,118,49,307,10784,4506
8073,2017,"Idaho County,Idaho",15346,93,489,95,9,360,15837,555
8074,2018,"Idaho County,Idaho",15403,86,488,89,12,391,15915,554
8075,2019,"Idaho County,Idaho",15537,92,510,91,12,381,16036,587
8087,2017,"Jefferson County,Idaho",27277,120,391,179,40,441,25510,2938
8088,2018,"Jefferson County,Idaho",28194,127,392,183,39,483,26351,3067
8089,2019,"Jefferson County,Idaho",28627,138,425,184,45,499,26729,3189
8101,2017,"Jerome County,Idaho",22562,182,537,117,57,336,15151,8640
8102,2018,"Jerome County,Idaho",22795,176,559,128,54,366,15233,8845
8103,2019,"Jerome County,Idaho",23179,175,587,135,55,355,15345,9141
8115,2017,"Kootenai County,Idaho",149192,661,2170,1408,224,3939,150310,7284
8116,2018,"Kootenai County,Idaho",152612,671,2136,1464,238,4158,153562,7717
8117,2019,"Kootenai County,Idaho",156607,695,2188,1517,256,4393,157415,8241
8129,2017,"Latah County,Idaho",36866,432,342,1037,64,1162,38179,1724
8130,2018,"Latah County,Idaho",36950,432,360,1012,64,1178,38225,1771
8131,2019,"Latah County,Idaho",37276,450,351,1000,67,1228,38553,1819
8143,2017,"Lemhi County,Idaho",7524,28,90,34,2,159,7585,252
8144,2018,"Lemhi County,Idaho",7658,30,96,30,3,157,7703,271
8145,2019,"Lemhi County,Idaho",7729,31,103,32,3,169,7784,283
8157,2017,"Lewis County,Idaho",3394,20,247,55,11,156,3710,173
8158,2018,"Lewis County,Idaho",3363,21,240,58,8,145,3651,184
8159,2019,"Lewis County,Idaho",3375,24,248,60,8,130,3661,184
8171,2017,"Lincoln County,Idaho",5091,25,98,32,9,106,3748,1613
8172,2018,"Lincoln County,Idaho",5070,24,98,35,9,124,3702,1658
8173,2019,"Lincoln County,Idaho",5019,27,114,35,9,121,3656,1669
8185,2017,"Madison County,Idaho",37722,268,193,560,124,673,36592,2948
8186,2018,"Madison County,Idaho",37577,284,210,548,129,703,36407,3044
8187,2019,"Madison County,Idaho",38216,298,231,608,123,729,37049,3156
8199,2017,"Minidoka County,Idaho",19561,155,469,121,10,367,13429,7254
8200,2018,"Minidoka County,Idaho",19549,147,461,124,13,373,13407,7260
8201,2019,"Minidoka County,Idaho",19722,167,480,133,20,388,13503,7407
8213,2017,"Nez Perce County,Idaho",36235,207,2488,392,43,1011,38679,1697
8214,2018,"Nez Perce County,Idaho",36258,206,2488,364,50,1042,38653,1755
8215,2019,"Nez Perce County,Idaho",36479,217,2430,370,59,1046,38861,1740
8227,2017,"Oneida County,Idaho",4284,17,26,26,3,37,4202,191
8228,2018,"Oneida County,Idaho",4320,19,22,30,3,35,4227,202
8229,2019,"Oneida County,Idaho",4383,18,22,29,3,45,4306,194
8241,2017,"Owyhee County,Idaho",10683,96,509,95,20,229,8592,3040
8242,2018,"Owyhee County,Idaho",10712,107,518,94,23,210,8616,3048
8243,2019,"Owyhee County,Idaho",10827,104,531,94,23,244,8774,3049
8255,2017,"Payette County,Idaho",21883,96,409,227,25,578,19167,4051
8256,2018,"Payette County,Idaho",22168,106,445,236,25,580,19475,4085
8257,2019,"Payette County,Idaho",22569,118,464,243,25,632,19836,4215
8269,2017,"Power County,Idaho",7003,85,284,38,15,162,5001,2586
8270,2018,"Power County,Idaho",7068,86,290,39,17,154,5052,2602
8271,2019,"Power County,Idaho",7034,83,292,39,17,171,5039,2597
8283,2017,"Shoshone County,Idaho",11751,78,228,78,24,352,12050,461
8284,2018,"Shoshone County,Idaho",12039,81,225,76,23,337,12301,480
8285,2019,"Shoshone County,Idaho",12120,86,218,78,25,341,12398,470
8297,2017,"Teton County,Idaho",11073,45,108,67,19,151,9587,1876
8298,2018,"Teton County,Idaho",11230,46,116,75,20,153,9713,1927
8299,2019,"Teton County,Idaho",11669,55,111,76,21,164,10119,1977
8311,2017,"Twin Falls County,Idaho",80072,785,1086,1641,215,1640,71544,13895
8312,2018,"Twin Falls County,Idaho",80746,794,1110,1584,261,1671,71841,14325
8313,2019,"Twin Falls County,Idaho",81570,811,1136,1602,249,1759,72358,14769
8325,2017,"Valley County,Idaho",10255,40,128,71,7,199,10201,499
8326,2018,"Valley County,Idaho",10593,49,133,61,10,208,10538,516
8327,2019,"Valley County,Idaho",10975,57,129,68,13,201,10908,535
8339,2017,"Washington County,Idaho",9504,49,159,97,16,230,8315,1740
8340,2018,"Washington County,Idaho",9498,52,171,103,15,231,8380,1690
8341,2019,"Washington County,Idaho",9543,60,173,101,17,232,8437,1689
8353,2017,"Adams County,Illinois",61472,2577,170,583,20,1251,65051,1022
8354,2018,"Adams County,Illinois",60947,2541,177,600,19,1319,64524,1079
8355,2019,"Adams County,Illinois",60625,2584,178,619,18,1378,64267,1135
8367,2017,"Alexander County,Illinois",3969,2096,28,16,10,157,6172,104
8368,2018,"Alexander County,Illinois",3892,1953,28,16,10,144,5936,107
8369,2019,"Alexander County,Illinois",3759,1832,26,17,10,147,5691,100
8381,2017,"Bond County,Illinois",15171,1012,107,119,6,239,16074,580
8382,2018,"Bond County,Illinois",15148,1022,108,131,7,252,16066,602
8383,2019,"Bond County,Illinois",14900,1043,104,132,8,271,15856,602
8395,2017,"Boone County,Illinois",49642,1411,393,751,50,1234,41872,11609
8396,2018,"Boone County,Illinois",49376,1508,418,754,51,1261,41479,11889
8397,2019,"Boone County,Illinois",49251,1520,433,766,53,1258,41200,12081
8409,2017,"Brown County,Illinois",5214,1231,86,24,2,57,6175,439
8410,2018,"Brown County,Illinois",5179,1235,84,23,3,56,6141,439
8411,2019,"Brown County,Illinois",5209,1241,86,22,3,58,6165,454
8423,2017,"Bureau County,Illinois",31856,312,153,338,13,462,30083,3051
8424,2018,"Bureau County,Illinois",31643,326,150,349,16,454,29841,3097
8425,2019,"Bureau County,Illinois",31309,338,147,348,16,463,29552,3069
8437,2017,"Calhoun County,Illinois",4781,20,10,11,0,25,4784,63
8438,2018,"Calhoun County,Illinois",4757,20,14,13,1,29,4773,61
8439,2019,"Calhoun County,Illinois",4658,20,11,13,2,36,4674,66
8451,2017,"Carroll County,Illinois",13962,152,69,86,5,199,13938,535
8452,2018,"Carroll County,Illinois",13832,152,63,83,3,204,13784,553
8453,2019,"Carroll County,Illinois",13814,155,67,86,3,213,13782,556
8465,2017,"Cass County,Illinois",11596,620,83,80,8,138,10167,2358
8466,2018,"Cass County,Illinois",11372,646,90,84,8,153,9947,2406
8467,2019,"Cass County,Illinois",11098,665,92,97,15,174,9784,2357
8479,2017,"Champaign County,Illinois",151898,28687,736,22965,219,6125,198166,12464
8480,2018,"Champaign County,Illinois",150991,29037,742,22920,211,6305,197463,12743
8481,2019,"Champaign County,Illinois",150212,29121,743,22857,211,6468,196551,13061
8493,2017,"Christian County,Illinois",31884,529,86,210,13,323,32524,521
8494,2018,"Christian County,Illinois",31495,533,88,225,14,354,32180,529
8495,2019,"Christian County,Illinois",31185,514,92,233,14,389,31887,540
